,Area,Smart Phone,Multiple Devices,Wifi,Electricity Problem,Online/Offline
2190,Town,yes,yes,no,yes,Online
2191,Town,no,no,yes,yes,Online
2192,Town,no,no,no,yes,Offline
2193,Town,no,yes,yes,yes,Offline
2194,Town,yes,no,yes,yes,Offline
2195,Village,no,no,no,yes,Online
2196,Village,no,no,no,yes,Online
2197,Village,yes,yes,yes,no,Online
2198,Town,yes,no,no,yes,Offline
2199,Town,no,yes,yes,no,Online
2200,Town,yes,no,yes,no,Offline
2201,Village,no,yes,yes,yes,Online
2202,Village,no,no,yes,no,Offline
2203,Village,no,yes,yes,no,Offline
2204,Village,no,yes,no,yes,Online
2205,Village,yes,no,no,no,Offline
2206,Town,yes,yes,yes,no,Online
2207,Village,no,no,yes,no,Online
2208,Town,no,yes,no,yes,Offline
2209,Village,yes,yes,yes,yes,Online
2210,Town,no,no,yes,yes,Online
2211,Village,yes,yes,no,no,Online
2212,Town,yes,yes,no,no,Online
2213,Village,yes,no,no,yes,Offline
2214,Town,no,yes,yes,no,Offline
2215,Village,yes,yes,yes,no,Offline
2216,Town,no,no,no,no,Online
2217,Village,no,yes,no,no,Offline
2218,Town,yes,no,no,no,Online
2219,Village,no,no,no,no,Online
2220,Town,yes,yes,yes,no,Online
2221,Town,no,no,no,yes,Offline
2222,Town,no,yes,yes,no,Online
2223,Town,yes,no,yes,no,Online
2224,Village,yes,no,no,yes,Online
2225,Town,no,yes,no,yes,Online
2226,Town,no,no,yes,no,Online
2227,Town,no,no,yes,no,Offline
2228,Town,no,no,no,yes,Online
2229,Village,no,yes,yes,no,Online
2230,Village,no,yes,yes,no,Offline
2231,Town,no,no,yes,yes,Online
2232,Village,yes,no,yes,no,Online
2233,Village,yes,no,no,yes,Online
2234,Town,yes,yes,yes,yes,Online
2235,Village,no,no,yes,no,Offline
2236,Village,no,no,yes,yes,Offline
2237,Village,yes,yes,no,no,Offline
2238,Town,no,no,yes,yes,Offline
2239,Village,yes,yes,yes,no,Online
2240,Town,no,no,no,no,Offline
2241,Town,no,yes,yes,yes,Online
2242,Village,no,no,no,yes,Online
2243,Village,no,no,no,yes,Online
2244,Town,no,no,yes,no,Offline
2245,Town,yes,no,no,yes,Offline
2246,Village,no,yes,yes,yes,Offline
2247,Village,no,no,yes,yes,Online
2248,Town,yes,no,no,no,Online
2249,Village,no,no,yes,no,Online
2250,Village,no,no,no,no,Offline
2251,Town,no,yes,no,no,Online
2252,Town,no,no,yes,yes,Offline
2253,Village,yes,no,no,no,Online
2254,Village,yes,yes,no,yes,Online
2255,Town,no,no,yes,no,Offline
2256,Town,yes,no,yes,no,Offline
2257,Town,yes,no,no,yes,Online
2258,Town,yes,no,no,yes,Offline
2259,Town,yes,yes,no,no,Offline
2260,Town,yes,yes,yes,yes,Online
2261,Town,no,no,yes,yes,Offline
2262,Town,no,yes,no,yes,Online
2263,Village,no,no,yes,yes,Offline
2264,Village,no,yes,yes,yes,Offline
2265,Village,yes,yes,yes,no,Offline
2266,Village,no,yes,no,no,Offline
2267,Village,yes,no,yes,no,Online
2268,Town,no,no,no,no,Offline
2269,Town,no,no,no,no,Offline
2270,Village,yes,no,yes,no,Offline
2271,Town,no,yes,no,yes,Offline
2272,Village,no,no,no,no,Online
2273,Village,yes,no,no,no,Online
2274,Town,yes,no,no,no,Offline
2275,Village,no,yes,no,no,Offline
2276,Village,yes,no,no,yes,Online
2277,Village,no,no,yes,yes,Offline
2278,Village,no,yes,yes,yes,Offline
2279,Town,no,no,no,yes,Online
2280,Town,no,no,yes,yes,Online
2281,Town,no,no,yes,no,Offline
2282,Village,yes,yes,no,no,Online
2283,Village,no,no,yes,yes,Online
2284,Town,no,yes,no,no,Offline
2285,Village,no,yes,yes,yes,Offline
2286,Town,no,yes,no,yes,Offline
2287,Village,no,yes,no,yes,Online
2288,Town,no,yes,yes,no,Online
2289,Town,no,yes,no,yes,Offline
2290,Town,no,no,no,no,Offline
2291,Town,yes,no,yes,no,Offline
2292,Town,no,no,yes,no,Offline
2293,Town,yes,no,no,yes,Offline
2294,Town,yes,no,no,yes,Online
2295,Town,yes,yes,yes,yes,Offline
2296,Town,yes,no,yes,no,Offline
2297,Village,no,yes,no,no,Offline
2298,Village,no,no,no,yes,Online
2299,Village,yes,yes,no,yes,Offline
2300,Town,yes,yes,yes,yes,Online
2301,Town,no,no,yes,yes,Online
2302,Village,no,yes,no,no,Offline
2303,Village,no,no,yes,yes,Offline
2304,Town,yes,no,yes,yes,Online
2305,Town,no,no,no,yes,Offline
2306,Village,no,no,no,no,Online
2307,Village,yes,yes,yes,yes,Online
2308,Village,no,yes,no,yes,Online
2309,Village,no,yes,no,yes,Offline
2310,Village,yes,no,no,yes,Online
2311,Village,yes,no,yes,no,Offline
2312,Town,no,yes,yes,yes,Offline
2313,Village,no,no,no,yes,Offline
2314,Town,no,no,yes,yes,Offline
2315,Town,no,no,yes,no,Offline
2316,Town,yes,yes,yes,yes,Online
2317,Village,yes,no,no,yes,Offline
2318,Village,yes,no,no,no,Offline
2319,Village,yes,yes,no,no,Online
2320,Village,no,no,yes,no,Offline
2321,Town,yes,no,no,no,Offline
2322,Village,yes,no,yes,no,Online
2323,Town,yes,no,no,yes,Offline
2324,Village,no,no,yes,no,Offline
2325,Town,no,no,yes,yes,Offline
2326,Village,no,yes,no,yes,Online
2327,Village,yes,no,no,yes,Online
2328,Village,no,yes,no,no,Offline
2329,Village,yes,yes,yes,no,Online
2330,Town,yes,no,yes,no,Offline
2331,Town,yes,no,yes,no,Online
2332,Town,no,no,no,yes,Offline
2333,Town,yes,no,yes,no,Offline
2334,Town,yes,no,no,yes,Online
2335,Village,yes,no,yes,no,Online
2336,Town,no,yes,yes,no,Offline
2337,Village,yes,no,yes,yes,Online
2338,Town,no,no,no,yes,Online
2339,Town,no,no,no,yes,Online
2340,Town,no,yes,yes,no,Offline
2341,Town,yes,no,yes,no,Offline
2342,Village,no,yes,no,no,Offline
2343,Village,yes,yes,yes,yes,Offline
2344,Village,no,yes,no,yes,Online
2345,Village,yes,no,yes,yes,Online
2346,Village,no,no,yes,no,Offline
2347,Town,no,no,yes,no,Offline
2348,Town,yes,no,no,no,Online
2349,Village,yes,yes,no,yes,Online
2350,Village,yes,yes,yes,no,Offline
2351,Town,no,yes,yes,no,Online
2352,Town,yes,no,yes,yes,Online
2353,Town,no,no,yes,no,Online
2354,Village,no,yes,no,no,Offline
2355,Town,yes,no,no,no,Online
2356,Town,yes,no,no,yes,Online
2357,Village,no,yes,yes,no,Online
2358,Village,no,no,yes,yes,Online
2359,Village,yes,no,yes,yes,Offline
2360,Village,no,yes,yes,no,Online
2361,Town,no,no,yes,no,Online
2362,Town,yes,yes,yes,yes,Offline
2363,Town,no,no,no,yes,Offline
2364,Village,no,yes,no,yes,Offline
2365,Village,yes,no,yes,yes,Online
2366,Village,yes,no,yes,yes,Online
2367,Town,yes,yes,no,yes,Offline
2368,Town,no,yes,yes,no,Online
2369,Village,no,yes,no,yes,Online
2370,Town,no,yes,no,no,Online
2371,Village,yes,no,yes,no,Online
2372,Village,no,yes,yes,no,Online
2373,Town,no,no,no,yes,Online
2374,Village,yes,yes,no,no,Offline
2375,Village,yes,yes,yes,no,Online
2376,Village,yes,yes,no,yes,Online
2377,Village,no,yes,yes,no,Offline
2378,Village,yes,yes,no,yes,Offline
2379,Town,yes,yes,no,no,Offline
2380,Town,yes,no,no,no,Offline
2381,Town,yes,yes,no,no,Offline
2382,Town,yes,yes,no,no,Online
2383,Town,no,no,yes,yes,Offline
2384,Village,yes,no,yes,yes,Offline
2385,Town,yes,yes,yes,yes,Online
2386,Town,no,no,yes,no,Offline
2387,Village,yes,no,no,yes,Offline
2388,Village,yes,no,yes,no,Online
2389,Village,yes,no,no,no,Online
2390,Village,no,yes,no,no,Online
2391,Town,no,yes,yes,no,Online
2392,Village,yes,no,yes,no,Offline
2393,Village,no,no,no,no,Offline
2394,Town,no,yes,yes,no,Online
2395,Village,yes,no,no,no,Online
2396,Town,yes,yes,yes,no,Online
2397,Town,yes,no,no,no,Offline
2398,Village,no,yes,yes,no,Online
2399,Village,yes,no,yes,yes,Online
2400,Village,no,yes,no,yes,Online
2401,Town,yes,no,yes,yes,Offline
2402,Town,yes,no,yes,no,Online
2403,Town,yes,yes,no,no,Offline
2404,Village,yes,no,yes,yes,Online
2405,Town,no,no,no,yes,Online
2406,Village,yes,no,no,yes,Online
2407,Town,yes,no,no,no,Offline
2408,Village,no,no,no,no,Online
2409,Town,no,yes,yes,yes,Offline
2410,Village,yes,no,no,yes,Offline
2411,Village,no,yes,no,no,Online
2412,Village,no,yes,no,yes,Offline
2413,Town,yes,no,no,yes,Online
2414,Village,yes,no,no,yes,Online
2415,Town,no,yes,yes,no,Online
2416,Town,no,no,yes,no,Online
2417,Town,yes,yes,yes,no,Offline
2418,Town,no,yes,no,no,Online
2419,Town,yes,no,yes,no,Online
2420,Village,yes,yes,no,yes,Offline
2421,Village,yes,no,no,yes,Online
2422,Town,no,yes,yes,yes,Online
2423,Town,no,yes,yes,no,Online
2424,Village,yes,yes,no,no,Offline
2425,Town,yes,yes,no,no,Offline
2426,Town,no,no,no,yes,Offline
2427,Village,yes,yes,yes,no,Offline
2428,Village,yes,yes,yes,yes,Online
2429,Village,no,yes,no,no,Offline
2430,Town,no,no,no,yes,Online
2431,Town,no,yes,yes,no,Online
2432,Village,yes,yes,yes,no,Offline
2433,Town,yes,yes,yes,no,Offline
2434,Town,yes,no,no,yes,Online
2435,Village,no,no,no,no,Offline
2436,Town,no,yes,yes,no,Offline
2437,Village,yes,yes,no,no,Online
2438,Village,yes,no,no,no,Offline
2439,Village,yes,yes,yes,yes,Online
2440,Village,yes,no,yes,no,Online
2441,Village,yes,yes,no,no,Offline
2442,Village,no,yes,yes,no,Online
2443,Town,yes,yes,no,yes,Online
2444,Town,yes,no,no,no,Offline
2445,Village,yes,yes,yes,yes,Offline
2446,Village,no,yes,no,yes,Online
2447,Village,no,yes,no,no,Offline
2448,Town,yes,yes,yes,no,Online
2449,Town,yes,no,no,no,Online
2450,Village,yes,yes,yes,no,Offline
2451,Town,no,no,yes,no,Online
2452,Town,yes,yes,no,yes,Offline
2453,Village,yes,yes,no,yes,Online
2454,Village,no,yes,no,no,Online
2455,Town,no,no,no,yes,Offline
2456,Town,yes,yes,no,yes,Offline
2457,Town,no,yes,yes,no,Offline
2458,Town,no,yes,no,yes,Offline
2459,Village,yes,no,yes,no,Online
2460,Village,no,yes,yes,no,Online
2461,Town,no,yes,no,no,Online
2462,Town,yes,yes,yes,no,Offline
2463,Village,yes,yes,no,yes,Online
2464,Town,no,yes,no,no,Online
2465,Village,no,no,yes,no,Offline
2466,Village,yes,yes,no,yes,Offline
2467,Village,no,no,yes,no,Offline
2468,Village,no,yes,no,no,Offline
2469,Town,yes,no,no,no,Online
2470,Village,no,yes,no,no,Offline
2471,Village,no,yes,no,yes,Online
2472,Village,no,yes,yes,no,Offline
2473,Village,no,no,no,no,Online
2474,Village,no,yes,no,no,Offline
2475,Village,yes,no,yes,yes,Offline
2476,Village,no,no,yes,yes,Online
2477,Town,yes,no,yes,yes,Online
2478,Town,yes,yes,yes,yes,Offline
2479,Town,no,yes,no,no,Offline
2480,Town,yes,no,no,yes,Online
2481,Town,no,yes,yes,no,Online
2482,Town,no,no,no,yes,Online
2483,Village,yes,yes,no,yes,Offline
2484,Village,no,no,no,no,Offline
2485,Town,yes,no,yes,no,Offline
2486,Village,yes,no,no,yes,Offline
2487,Village,no,yes,no,no,Online
2488,Village,no,yes,yes,yes,Offline
2489,Village,no,no,yes,yes,Offline
2490,Village,no,no,yes,no,Offline
2491,Town,yes,yes,no,no,Offline
2492,Village,no,yes,no,yes,Offline
2493,Town,yes,yes,yes,yes,Offline
2494,Town,no,yes,no,yes,Online
2495,Village,yes,no,yes,no,Online
2496,Town,no,yes,yes,no,Online
2497,Village,yes,yes,yes,no,Offline
2498,Town,no,no,no,no,Offline
2499,Town,yes,no,no,yes,Offline
2500,Village,yes,no,yes,no,Online
2501,Town,yes,yes,no,yes,Online
2502,Village,yes,no,yes,yes,Online
2503,Village,yes,yes,yes,no,Offline
2504,Town,no,yes,no,no,Offline
2505,Village,yes,no,yes,yes,Offline
2506,Village,yes,yes,no,no,Offline
2507,Town,yes,yes,yes,no,Offline
2508,Town,no,yes,yes,yes,Offline
2509,Village,yes,yes,no,yes,Online
2510,Village,yes,no,no,no,Online
2511,Village,yes,no,yes,yes,Offline
2512,Village,no,no,no,yes,Offline
2513,Town,no,yes,no,no,Offline
2514,Town,no,no,no,no,Online
2515,Village,yes,no,no,no,Offline
2516,Town,no,no,no,yes,Offline
2517,Village,yes,yes,yes,no,Online
2518,Village,yes,no,no,no,Online
2519,Town,yes,yes,no,no,Offline
2520,Village,yes,yes,yes,no,Online
2521,Village,yes,no,yes,no,Online
2522,Village,no,no,no,yes,Online
2523,Village,yes,no,no,no,Online
2524,Village,yes,no,no,no,Offline
2525,Town,yes,no,no,yes,Online
2526,Town,yes,no,no,no,Offline
2527,Town,yes,no,no,yes,Online
2528,Town,no,yes,yes,no,Online
2529,Town,yes,no,no,no,Offline
2530,Village,no,yes,yes,no,Online
2531,Town,yes,no,yes,yes,Offline
2532,Town,yes,no,yes,yes,Online
2533,Village,yes,yes,yes,yes,Online
2534,Village,yes,yes,no,yes,Offline
2535,Village,no,no,yes,no,Online
2536,Village,no,no,no,no,Offline
2537,Town,yes,no,yes,yes,Online
2538,Town,no,no,yes,no,Offline
2539,Town,no,no,no,yes,Offline
2540,Village,yes,yes,no,yes,Online
2541,Village,yes,no,no,no,Offline
2542,Village,no,yes,yes,yes,Offline
2543,Town,yes,yes,no,yes,Online
2544,Town,yes,yes,no,no,Online
2545,Town,no,no,yes,yes,Online
2546,Village,no,no,no,no,Online
2547,Town,no,yes,yes,yes,Online
2548,Town,yes,no,no,yes,Offline
2549,Village,no,yes,no,yes,Online
2550,Town,no,no,yes,yes,Offline
2551,Town,yes,no,no,no,Online
2552,Town,no,yes,no,no,Online
2553,Town,yes,yes,yes,no,Online
2554,Town,no,yes,yes,no,Online
2555,Town,yes,no,no,no,Offline
2556,Village,no,yes,yes,yes,Offline
2557,Village,no,no,no,no,Offline
2558,Village,yes,yes,no,yes,Online
2559,Town,yes,yes,yes,yes,Offline
2560,Village,no,yes,yes,no,Online
2561,Town,yes,no,yes,no,Offline
2562,Town,yes,yes,no,yes,Offline
2563,Village,yes,no,no,yes,Offline
2564,Town,no,no,yes,no,Online
2565,Village,yes,no,no,yes,Offline
2566,Village,yes,no,yes,no,Offline
2567,Town,yes,no,yes,no,Online
2568,Village,yes,yes,no,yes,Online
2569,Village,yes,no,yes,no,Offline
2570,Town,yes,yes,yes,yes,Online
2571,Village,yes,no,yes,yes,Offline
2572,Town,no,yes,no,no,Online
2573,Village,no,no,no,no,Online
2574,Town,no,no,yes,yes,Online
2575,Village,no,no,no,no,Online
2576,Village,yes,no,yes,no,Offline
2577,Village,yes,yes,no,no,Offline
2578,Town,no,yes,yes,yes,Online
2579,Town,yes,yes,yes,yes,Online
2580,Town,yes,yes,yes,no,Online
2581,Town,yes,yes,yes,yes,Offline
2582,Town,no,yes,yes,yes,Offline
2583,Town,yes,no,yes,no,Offline
2584,Village,yes,yes,yes,no,Online
2585,Town,no,yes,no,yes,Online
2586,Village,yes,yes,yes,yes,Offline
2587,Town,no,yes,yes,yes,Offline
2588,Town,yes,no,no,yes,Online
2589,Village,no,yes,no,yes,Online
2590,Town,yes,no,yes,no,Offline
2591,Town,no,yes,yes,yes,Online
2592,Town,yes,no,yes,yes,Online
2593,Village,no,no,yes,no,Online
2594,Village,yes,no,yes,no,Online
2595,Town,no,yes,no,yes,Offline
2596,Village,yes,yes,no,yes,Offline
2597,Village,no,no,yes,yes,Offline
2598,Town,yes,yes,no,yes,Offline
2599,Village,yes,yes,yes,no,Online
2600,Town,yes,no,yes,yes,Online
2601,Town,no,yes,no,yes,Offline
2602,Village,no,yes,no,no,Online
2603,Village,no,yes,no,yes,Online
2604,Village,no,yes,no,no,Offline
2605,Town,no,no,yes,yes,Online
2606,Town,no,yes,yes,no,Offline
2607,Town,no,yes,no,no,Online
2608,Village,no,yes,no,no,Offline
2609,Village,yes,yes,yes,no,Offline
2610,Town,yes,yes,yes,no,Offline
2611,Town,no,no,yes,no,Online
2612,Town,no,no,yes,yes,Offline
2613,Village,no,yes,yes,yes,Online
2614,Town,no,no,yes,yes,Offline
2615,Village,no,no,no,no,Offline
2616,Town,no,yes,no,yes,Online
2617,Town,no,no,yes,yes,Offline
2618,Village,yes,no,no,no,Online
2619,Village,no,no,no,yes,Offline
2620,Village,yes,yes,yes,yes,Online
2621,Town,yes,no,no,yes,Online
2622,Town,no,no,no,no,Offline
2623,Town,yes,yes,no,no,Offline
2624,Village,yes,yes,no,no,Offline
2625,Village,yes,no,yes,yes,Offline
2626,Town,no,no,no,yes,Offline
2627,Town,no,yes,no,yes,Online
2628,Town,no,no,no,yes,Offline
2629,Town,yes,no,yes,no,Online
2630,Town,no,yes,yes,no,Online
2631,Village,no,yes,yes,yes,Online
2632,Town,no,yes,yes,no,Offline
2633,Village,yes,no,yes,no,Offline
2634,Town,no,yes,yes,no,Online
2635,Village,no,no,yes,no,Online
2636,Village,yes,no,yes,no,Offline
2637,Village,yes,no,no,no,Offline
2638,Town,yes,yes,no,no,Online
2639,Town,no,yes,yes,yes,Online
2640,Village,no,no,no,no,Online
2641,Village,yes,no,no,yes,Online
2642,Village,no,yes,no,yes,Offline
2643,Village,no,yes,yes,no,Online
2644,Village,yes,yes,yes,no,Online
2645,Town,yes,no,no,yes,Online
2646,Town,no,yes,yes,yes,Online
2647,Village,yes,yes,no,no,Online
2648,Town,no,yes,no,no,Online
2649,Village,yes,no,yes,no,Online
2650,Town,yes,no,yes,yes,Offline
2651,Village,no,yes,no,no,Online
2652,Village,no,yes,no,yes,Online
2653,Town,yes,no,yes,yes,Offline
2654,Town,no,no,yes,no,Online
2655,Town,yes,no,no,yes,Online
2656,Town,no,yes,no,yes,Online
2657,Town,yes,no,no,no,Online
2658,Town,no,yes,no,yes,Offline
2659,Town,yes,no,yes,yes,Online
2660,Town,yes,yes,no,no,Online
2661,Village,yes,no,yes,yes,Offline
2662,Village,yes,no,no,yes,Offline
2663,Town,no,yes,no,no,Offline
2664,Village,yes,yes,no,yes,Online
2665,Village,no,yes,yes,yes,Online
2666,Town,no,yes,no,no,Offline
2667,Town,no,no,yes,yes,Offline
2668,Village,yes,no,no,yes,Offline
2669,Town,yes,yes,no,no,Online
2670,Town,yes,yes,yes,yes,Offline
2671,Village,no,no,yes,no,Online
2672,Village,yes,yes,no,yes,Online
2673,Village,yes,no,no,no,Offline
2674,Village,yes,yes,no,no,Online
2675,Town,no,yes,yes,no,Online
2676,Town,yes,yes,yes,yes,Offline
2677,Town,no,yes,yes,yes,Offline
2678,Village,yes,yes,no,yes,Online
2679,Town,yes,yes,no,no,Offline
2680,Town,no,no,no,no,Offline
2681,Village,no,no,no,no,Offline
2682,Town,yes,no,yes,no,Offline
2683,Village,no,no,yes,no,Offline
2684,Village,no,no,yes,no,Online
2685,Village,no,yes,yes,yes,Offline
2686,Town,no,no,yes,no,Offline
2687,Town,no,yes,yes,no,Offline
2688,Town,yes,no,no,yes,Online
2689,Village,no,yes,yes,no,Offline
2690,Town,no,no,yes,yes,Offline
2691,Town,yes,no,no,no,Offline
2692,Town,yes,no,yes,no,Online
2693,Village,no,no,yes,yes,Online
2694,Town,no,no,no,no,Online
2695,Town,yes,yes,no,yes,Offline
2696,Town,yes,yes,yes,no,Offline
2697,Town,yes,yes,no,yes,Online
2698,Village,yes,yes,no,yes,Offline
2699,Village,yes,no,yes,yes,Online
2700,Town,no,yes,no,yes,Online
2701,Town,no,yes,yes,yes,Online
2702,Town,yes,no,no,no,Online
2703,Town,no,yes,yes,yes,Online
2704,Town,no,yes,no,no,Online
2705,Town,no,no,yes,yes,Online
2706,Village,no,no,no,no,Online
2707,Town,no,yes,yes,yes,Online
2708,Town,no,yes,no,yes,Offline
2709,Village,yes,no,no,yes,Offline
2710,Village,yes,yes,yes,no,Online
2711,Town,yes,yes,yes,yes,Online
2712,Village,yes,yes,no,no,Offline
2713,Town,no,no,yes,yes,Online
2714,Village,yes,yes,no,yes,Online
2715,Village,no,no,no,no,Offline
2716,Town,yes,no,yes,no,Offline
2717,Town,no,no,no,no,Offline
2718,Town,yes,yes,yes,no,Offline
2719,Town,yes,no,no,no,Offline
2720,Village,no,yes,no,yes,Online
2721,Village,yes,no,yes,no,Online
2722,Village,yes,yes,no,yes,Online
2723,Village,yes,yes,yes,yes,Offline
2724,Village,no,yes,yes,yes,Offline
2725,Town,yes,yes,no,no,Offline
2726,Village,yes,no,no,no,Online
2727,Village,yes,no,no,yes,Online
2728,Town,no,no,no,yes,Offline
2729,Town,no,no,no,no,Online
2730,Town,no,yes,yes,no,Online
2731,Village,no,yes,no,no,Online
2732,Village,no,no,yes,yes,Online
2733,Village,no,yes,yes,yes,Offline
2734,Town,no,yes,yes,no,Offline
2735,Village,yes,no,no,no,Online
2736,Village,no,yes,yes,yes,Online
2737,Town,no,yes,yes,no,Offline
2738,Town,no,yes,no,yes,Offline
2739,Town,yes,no,yes,yes,Online
2740,Town,no,no,yes,yes,Online
2741,Town,yes,no,no,no,Offline
2742,Village,yes,yes,no,no,Offline
2743,Village,no,no,no,no,Online
2744,Town,yes,no,no,no,Online
2745,Town,yes,no,yes,no,Online
2746,Village,yes,yes,no,no,Online
2747,Town,no,no,no,no,Online
2748,Town,yes,yes,yes,yes,Online
2749,Village,yes,no,no,yes,Online
2750,Village,no,no,yes,no,Offline
2751,Town,no,yes,yes,yes,Online
2752,Village,no,no,yes,no,Offline
2753,Village,no,no,yes,yes,Online
2754,Town,no,no,no,yes,Offline
2755,Village,yes,yes,yes,yes,Offline
2756,Village,no,yes,yes,yes,Offline
2757,Village,no,no,no,yes,Offline
2758,Town,no,no,yes,no,Online
2759,Town,no,no,yes,yes,Online
2760,Town,no,no,yes,yes,Online
2761,Village,no,yes,no,yes,Online
2762,Village,no,no,yes,yes,Online
2763,Town,no,yes,no,no,Online
2764,Town,no,no,yes,no,Online
2765,Village,no,yes,yes,yes,Offline
2766,Village,no,yes,yes,no,Online
2767,Town,no,no,no,yes,Online
2768,Village,no,no,yes,no,Offline
2769,Village,no,yes,no,no,Offline
2770,Town,no,no,yes,no,Offline
2771,Town,yes,yes,yes,yes,Online
2772,Town,yes,no,yes,no,Online
2773,Village,yes,yes,no,yes,Offline
2774,Town,no,no,yes,no,Online
2775,Town,yes,no,no,yes,Offline
2776,Village,yes,no,no,yes,Online
2777,Village,no,yes,yes,yes,Offline
2778,Village,no,no,no,no,Online
2779,Town,yes,yes,yes,yes,Offline
2780,Village,no,no,yes,no,Offline
2781,Village,yes,no,no,no,Offline
2782,Village,yes,yes,no,yes,Offline
2783,Town,yes,yes,yes,yes,Offline
2784,Village,yes,no,yes,yes,Online
2785,Village,yes,yes,yes,no,Online
2786,Village,yes,yes,no,yes,Offline
2787,Village,yes,yes,yes,yes,Online
2788,Town,no,yes,yes,no,Offline
2789,Village,yes,no,no,no,Offline
2790,Village,yes,yes,no,yes,Online
2791,Town,yes,no,yes,yes,Offline
2792,Town,no,no,yes,yes,Offline
2793,Town,no,yes,no,no,Offline
2794,Town,yes,no,yes,no,Online
2795,Village,yes,yes,no,yes,Online
2796,Village,no,no,no,no,Online
2797,Village,no,yes,yes,yes,Offline
2798,Town,no,yes,yes,yes,Online
2799,Village,no,no,no,no,Offline
2800,Town,no,no,no,no,Offline
2801,Village,no,no,yes,no,Offline
2802,Village,no,yes,no,no,Offline
2803,Town,yes,no,yes,no,Online
2804,Town,no,no,no,no,Online
2805,Town,yes,no,no,no,Offline
2806,Village,yes,yes,no,yes,Offline
2807,Town,yes,yes,yes,no,Offline
2808,Town,no,yes,yes,no,Online
2809,Village,no,no,yes,yes,Online
2810,Village,no,yes,yes,no,Offline
2811,Town,yes,yes,no,yes,Offline
2812,Village,yes,no,no,no,Offline
2813,Village,no,no,no,yes,Online
2814,Town,yes,no,no,yes,Online
2815,Village,no,yes,yes,no,Offline
2816,Village,yes,yes,yes,no,Online
2817,Village,no,no,yes,yes,Offline
2818,Village,no,yes,yes,yes,Online
2819,Village,yes,yes,yes,yes,Offline
2820,Village,no,yes,no,yes,Online
2821,Town,no,no,yes,no,Offline
2822,Village,no,yes,no,no,Offline
2823,Village,yes,no,no,no,Online
2824,Village,yes,no,no,no,Online
2825,Town,yes,yes,yes,no,Offline
2826,Village,yes,no,no,yes,Online
2827,Town,yes,no,no,yes,Online
2828,Village,no,yes,no,yes,Offline
2829,Town,yes,no,yes,no,Online
2830,Town,no,yes,yes,yes,Online
2831,Village,yes,no,no,yes,Online
2832,Town,no,no,no,no,Offline
2833,Town,yes,no,no,yes,Offline
2834,Town,yes,no,yes,no,Offline
2835,Village,no,no,yes,yes,Online
2836,Town,no,yes,yes,no,Online
2837,Town,no,yes,no,no,Offline
2838,Town,yes,yes,yes,yes,Online
2839,Town,yes,yes,yes,no,Offline
2840,Village,yes,yes,yes,yes,Online
2841,Town,no,no,no,no,Offline
2842,Village,no,no,yes,no,Online
2843,Village,yes,yes,no,no,Offline
2844,Town,yes,no,no,no,Online
2845,Town,no,yes,no,no,Offline
2846,Town,yes,no,yes,no,Offline
2847,Village,no,no,no,no,Online
2848,Town,no,no,no,yes,Online
2849,Village,no,yes,no,no,Online
2850,Village,yes,yes,yes,yes,Offline
2851,Town,no,no,yes,no,Offline
2852,Village,yes,yes,yes,no,Online
2853,Village,no,no,yes,yes,Online
2854,Town,no,yes,no,no,Offline
2855,Village,yes,no,no,no,Online
2856,Town,no,yes,no,yes,Online
2857,Town,yes,no,yes,yes,Offline
2858,Village,yes,no,no,no,Online
2859,Town,yes,no,no,yes,Offline
2860,Town,yes,yes,yes,yes,Online
2861,Town,yes,no,yes,no,Online
2862,Village,yes,yes,no,yes,Online
2863,Village,yes,yes,yes,yes,Online
2864,Village,yes,no,yes,yes,Offline
2865,Village,yes,yes,yes,yes,Offline
2866,Town,no,no,no,no,Online
2867,Village,yes,yes,no,yes,Offline
2868,Village,yes,no,no,no,Offline
2869,Village,yes,yes,no,yes,Offline
2870,Village,no,yes,no,yes,Online
2871,Town,yes,no,no,no,Online
2872,Town,yes,no,no,no,Online
2873,Town,yes,no,no,no,Offline
2874,Town,yes,yes,yes,no,Online
2875,Town,no,no,yes,yes,Online
2876,Town,no,no,yes,no,Online
2877,Village,no,yes,no,yes,Online
2878,Town,yes,yes,no,yes,Offline
2879,Village,yes,yes,no,yes,Online
2880,Town,yes,yes,no,no,Offline
2881,Village,yes,yes,yes,no,Online
2882,Town,yes,yes,no,no,Online
2883,Town,no,yes,yes,no,Offline
2884,Village,no,no,yes,yes,Online
2885,Town,yes,no,yes,yes,Offline
2886,Town,no,yes,no,yes,Online
2887,Town,no,yes,no,yes,Offline
2888,Town,no,no,no,yes,Offline
2889,Town,no,yes,yes,no,Online
2890,Town,yes,yes,no,yes,Offline
2891,Town,no,no,yes,yes,Online
2892,Town,yes,yes,yes,no,Offline
2893,Village,no,yes,no,yes,Offline
2894,Village,yes,no,no,yes,Online
2895,Village,yes,yes,yes,yes,Offline
2896,Village,yes,yes,yes,no,Online
2897,Town,no,yes,yes,no,Offline
2898,Town,yes,no,yes,no,Offline
2899,Village,no,yes,no,yes,Online
2900,Town,yes,no,no,no,Offline
2901,Village,no,no,no,yes,Online
2902,Town,yes,yes,yes,no,Offline
2903,Village,no,yes,no,yes,Online
2904,Town,yes,no,no,yes,Online
2905,Town,no,yes,no,no,Offline
2906,Village,no,yes,yes,yes,Online
